regions,Topsis
Dolnośląskie,0.156025301270771
Kujawsko-Pomorskie,0.101792842506618
Lubelskie,0.40775685893561
Lubuskie,0.253371497504528
Łódzkie,0.45766192781469
Małopolskie,0.692229128041697
Mazowieckie,0.726447799827011
Opolskie,0.27610670595407
Podkarpackie,0.369057442665251
Podlaskie,0.701573581828677
Pomorskie,0.387032206801359
Śląskie,0.35536211264347
Świętokrzyskie,0.857818759942906
Warmińsko-Mazurskie,0.0724129371689126
Wielkopolskie,0.294574341622463
Zachodniopomorskie,0.378537021145321
